id,domain,T,I,F,ground_truth_zone,rater1,rater2,rater3,majority_zone,ns_predicted_zone,ns_correct,classical_predicted,classical_truth,classical_correct,interval_predicted,interval_truth,interval_correct,paraconsistent
H01,urban_violence,0.504,0.265,0.594,Contradiction,Ambiguity,Contradiction,Contradiction,Contradiction,Contradiction,1,not_support,support,0,inconclusive,inconclusive,1,1
H02,education,0.735,0.143,0.235,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,1,support,support,1,support,support,1,0
H03,health,0.766,0.066,0.216,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,1,support,support,1,support,support,1,0
H04,economics,0.607,0.672,0.158,Ambiguity,Ambiguity,Ignorance,Ambiguity,Ambiguity,Ambiguity,1,support,not_support,0,inconclusive,inconclusive,1,0
H05,environment,0.548,0.739,0.198,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,1,support,not_support,0,inconclusive,inconclusive,1,0
H06,technology,0.516,0.107,0.584,Contradiction,Contradiction,Contradiction,Contradiction,Contradiction,Contradiction,1,not_support,support,0,inconclusive,inconclusive,1,1
H07,politics,0.85,0.251,0.127,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,1,support,support,1,support,support,1,0
H08,epidemiology,0.353,0.247,0.583,Contradiction,Contradiction,Contradiction,Contradiction,Contradiction,Contradiction,1,not_support,support,0,inconclusive,inconclusive,1,0
H09,urban_violence,0.306,0.44,0.301,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,1,support,not_support,0,inconclusive,inconclusive,1,0
H10,education,0.766,0.19,0.111,Consensus,Contradiction,Consensus,Consensus,Consensus,Consensus,1,support,support,1,support,support,1,0
H11,health,0.67,0.065,0.106,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,1,support,support,1,support,support,1,0
H12,economics,0.799,0.152,0.213,Consensus,Consensus,Contradiction,Ignorance,Consensus,Consensus,1,support,support,1,support,support,1,1
H13,environment,0.406,0.175,0.403,Contradiction,Contradiction,Contradiction,Contradiction,Contradiction,Contradiction,1,support,support,1,inconclusive,inconclusive,1,0
H14,technology,0.571,0.14,0.381,Contradiction,Contradiction,Contradiction,Contradiction,Contradiction,Contradiction,1,support,support,1,inconclusive,inconclusive,1,0
H15,politics,0.443,0.292,0.623,Contradiction,Contradiction,Contradiction,Contradiction,Contradiction,Contradiction,1,not_support,support,0,inconclusive,inconclusive,1,1
H16,epidemiology,0.666,0.164,0.421,Ignorance,Ignorance,Ignorance,Ignorance,Ignorance,Contradiction,0,support,not_support,0,support,not_support,0,1
H17,urban_violence,0.202,0.23,0.136,Ignorance,Ignorance,Ignorance,Ignorance,Ignorance,Ignorance,1,support,not_support,0,not_support,not_support,1,0
H18,education,0.058,0.173,0.116,Consensus,Consensus,Consensus,Consensus,Consensus,Ignorance,0,not_support,support,0,not_support,support,0,0
H19,health,0.674,0.195,0.471,Contradiction,Contradiction,Ambiguity,Contradiction,Contradiction,Contradiction,1,support,support,1,inconclusive,inconclusive,1,1
H20,economics,0.835,0.071,0.147,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,1,support,support,1,support,support,1,0
H21,environment,0.357,0.516,0.256,Ambiguity,Ambiguity,Contradiction,Ambiguity,Ambiguity,Ambiguity,1,support,not_support,0,inconclusive,inconclusive,1,0
H22,technology,0.472,0.438,0.302,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,1,support,not_support,0,inconclusive,inconclusive,1,0
H23,politics,0.632,0.279,0.096,Consensus,Ignorance,Consensus,Consensus,Consensus,Consensus,1,support,support,1,inconclusive,support,0,0
H24,epidemiology,0.573,0.511,0.386,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,1,support,not_support,0,inconclusive,inconclusive,1,0
H25,urban_violence,0.408,0.061,0.502,Contradiction,Contradiction,Contradiction,Contradiction,Contradiction,Contradiction,1,not_support,support,0,not_support,inconclusive,0,0
H26,education,0.607,0.582,0.195,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,1,support,not_support,0,inconclusive,inconclusive,1,0
H27,health,0.102,0.284,0.098,Contradiction,Contradiction,Contradiction,Contradiction,Contradiction,Ignorance,0,support,support,1,not_support,inconclusive,0,0
H28,economics,0.49,0.706,0.159,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,1,support,not_support,0,inconclusive,inconclusive,1,0
H29,environment,0.643,0.053,0.096,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,1,support,support,1,support,support,1,0
H30,technology,0.808,0.195,0.09,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,1,support,support,1,support,support,1,0
H31,politics,0.3,0.725,0.219,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,1,support,not_support,0,inconclusive,inconclusive,1,0
H32,epidemiology,0.107,0.281,0.055,Ignorance,Ignorance,Ignorance,Ignorance,Ignorance,Ignorance,1,support,not_support,0,not_support,not_support,1,0
H33,urban_violence,0.418,0.738,0.279,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,1,support,not_support,0,inconclusive,inconclusive,1,0
H34,education,0.356,0.077,0.64,Contradiction,Contradiction,Contradiction,Contradiction,Contradiction,Contradiction,1,not_support,support,0,not_support,inconclusive,0,0
H35,health,0.86,0.201,0.133,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,1,support,support,1,support,support,1,0
H36,economics,0.736,0.112,0.097,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,1,support,support,1,support,support,1,0
H37,environment,0.558,0.087,0.639,Ignorance,Ignorance,Ignorance,Ignorance,Ignorance,Contradiction,0,not_support,not_support,1,inconclusive,not_support,0,1
H38,technology,0.364,0.454,0.135,Ambiguity,Ignorance,Ambiguity,Consensus,Ambiguity,Ambiguity,1,support,not_support,0,inconclusive,inconclusive,1,0
H39,politics,0.804,0.148,0.114,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,1,support,support,1,support,support,1,0
H40,epidemiology,0.433,0.112,0.55,Consensus,Consensus,Ambiguity,Consensus,Consensus,Contradiction,0,not_support,support,0,inconclusive,support,0,0
H41,urban_violence,0.291,0.692,0.116,Ambiguity,Ambiguity,Ignorance,Ambiguity,Ambiguity,Ambiguity,1,support,not_support,0,inconclusive,inconclusive,1,0
H42,education,0.21,0.245,0.178,Ignorance,Ignorance,Ignorance,Ignorance,Ignorance,Ignorance,1,support,not_support,0,not_support,not_support,1,0
H43,health,0.593,0.562,0.216,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,1,support,not_support,0,inconclusive,inconclusive,1,0
H44,economics,0.725,0.108,0.124,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,1,support,support,1,support,support,1,0
H45,environment,0.689,0.287,0.233,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,1,support,support,1,inconclusive,support,0,0
H46,technology,0.796,0.251,0.157,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,1,support,support,1,support,support,1,0
H47,politics,0.528,0.701,0.14,Ambiguity,Ambiguity,Ignorance,Ambiguity,Ambiguity,Ambiguity,1,support,not_support,0,inconclusive,inconclusive,1,0
H48,epidemiology,0.398,0.29,0.63,Consensus,Consensus,Consensus,Consensus,Consensus,Contradiction,0,not_support,support,0,inconclusive,support,0,1
H49,urban_violence,0.351,0.607,0.129,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,Ambiguity,1,support,not_support,0,inconclusive,inconclusive,1,0
H50,education,0.74,0.181,0.203,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,1,support,support,1,support,support,1,0
