dataset,clf,y_true,y_point,p_max,T,I,F
Iris,LR,1,1,0.98108,0.98016,0.00793,0.0
Iris,LR,1,1,0.98429,0.98166,0.01199,0.0
Iris,LR,1,1,0.99145,0.99176,0.00297,0.0
Iris,LR,1,1,0.99498,0.99543,0.00236,0.0
Iris,LR,1,1,0.95763,0.95606,0.01483,0.0
Iris,LR,1,1,0.93107,0.92323,0.03787,0.0
Iris,LR,1,1,0.97128,0.96879,0.01468,0.0
Iris,LR,1,1,0.99585,0.99611,0.00163,0.0
Iris,LR,1,1,0.97163,0.96892,0.01461,0.0
Iris,LR,1,1,0.94467,0.93799,0.03257,0.0
Iris,LR,0,0,0.98083,0.97887,0.00752,0.0
Iris,LR,0,0,0.97306,0.97157,0.00836,0.0
Iris,LR,0,0,0.98765,0.98704,0.00381,0.0
Iris,LR,0,0,0.92563,0.9246,0.02271,0.0
Iris,LR,0,0,0.99635,0.99621,0.00108,0.0
Iris,LR,0,0,0.96324,0.96511,0.01668,0.0
Iris,LR,0,0,0.99629,0.99613,0.00121,0.0
Iris,LR,0,0,0.97976,0.98023,0.00838,0.0
Iris,LR,0,0,0.97448,0.97438,0.00885,0.0
Iris,LR,0,0,0.93927,0.93698,0.01798,0.0
Iris,LR,0,0,0.99962,0.99956,0.00021,0.0
Iris,LR,0,0,0.99929,0.99918,0.00037,0.0
Iris,LR,0,0,0.99873,0.99877,0.00055,0.0
Iris,LR,0,0,0.99568,0.99537,0.00157,0.0
Iris,LR,0,0,0.99659,0.99639,0.0011,0.0
Iris,LR,0,0,0.99903,0.9986,0.00144,0.0
Iris,LR,0,0,0.99586,0.99565,0.0013,0.0
Iris,LR,0,0,0.99941,0.9993,0.00036,0.0
Iris,LR,0,0,0.9991,0.99908,0.0003,0.0
Iris,LR,0,0,0.99361,0.99296,0.00244,0.0
Iris,LR,1,1,0.98292,0.98299,0.00599,0.0
Iris,LR,1,1,0.98834,0.98837,0.00442,0.0
Iris,LR,1,1,0.96627,0.9662,0.01358,0.0
Iris,LR,1,1,0.98396,0.98392,0.00698,0.0
Iris,LR,1,1,0.98946,0.9894,0.00511,0.0
Iris,LR,1,1,0.98322,0.98321,0.00729,0.0
Iris,LR,1,1,0.94829,0.94868,0.01658,0.0
Iris,LR,1,1,0.9831,0.98316,0.00601,0.0
Iris,LR,1,1,0.98548,0.9854,0.0064,0.0
Iris,LR,1,1,0.97969,0.97966,0.00826,0.0
Iris,LR,0,0,0.97728,0.97616,0.00815,0.0
Iris,LR,0,0,0.99023,0.98955,0.00618,0.0
Iris,LR,0,0,0.9714,0.9698,0.0117,0.0
Iris,LR,0,0,0.96911,0.96749,0.0141,0.0
Iris,LR,0,0,0.98626,0.98519,0.00756,0.0
Iris,LR,0,0,0.99774,0.99761,0.0009,0.0
Iris,LR,0,0,0.98575,0.98506,0.00465,0.0
Iris,LR,0,0,0.93807,0.93538,0.02409,0.0
Iris,LR,0,0,0.97046,0.96871,0.01572,0.0
Iris,LR,0,0,0.99675,0.99656,0.00162,0.0
Iris,LR,0,0,0.9388,0.93593,0.02145,0.0
Iris,LR,0,0,0.97682,0.97561,0.00969,0.0
Iris,LR,0,0,0.99973,0.99971,0.00015,0.0
Iris,LR,0,0,0.99847,0.99836,0.0008,0.0
Iris,LR,0,0,0.99882,0.99872,0.0007,0.0
Iris,LR,0,0,0.99834,0.99817,0.00117,0.0
Iris,LR,0,0,0.99947,0.99933,0.00074,0.0
Iris,LR,0,0,0.99846,0.99827,0.00117,0.0
Iris,LR,0,0,0.99991,0.9999,7e-05,0.0
Iris,LR,0,0,0.99279,0.9923,0.00344,0.0
Iris,LR,1,1,0.98374,0.98282,0.00723,0.0
Iris,LR,1,1,0.9772,0.97593,0.00926,0.0
Iris,LR,1,1,0.99496,0.99466,0.00238,0.0
Iris,LR,1,1,0.979,0.97782,0.00833,0.0
Iris,LR,1,1,0.95087,0.94814,0.0214,0.0
Iris,LR,1,1,0.94983,0.94702,0.02153,0.0
Iris,LR,1,1,0.967,0.96489,0.01809,0.0
Iris,LR,1,1,0.71025,0.69751,0.13193,0.05
Iris,LR,1,1,0.98409,0.98321,0.0065,0.0
Iris,LR,1,1,0.98725,0.9865,0.00535,0.0
Iris,LR,0,0,0.99004,0.99039,0.00275,0.0
Iris,LR,0,0,0.98178,0.98193,0.00964,0.0
Iris,LR,0,0,0.98384,0.98437,0.00486,0.0
Iris,LR,0,0,0.99867,0.99871,0.00053,0.0
Iris,LR,0,0,0.98371,0.98429,0.00434,0.0
Iris,LR,0,0,0.97013,0.97112,0.00853,0.0
Iris,LR,0,0,0.96228,0.96331,0.01122,0.0
Iris,LR,0,0,0.9466,0.94792,0.01761,0.0
Iris,LR,0,0,0.9806,0.98121,0.00544,0.0
Iris,LR,0,0,0.96153,0.96274,0.01048,0.0
Iris,LR,0,0,0.96887,0.96986,0.00883,0.0
Iris,LR,0,0,0.99968,0.99969,0.00012,0.0
Iris,LR,0,0,0.99894,0.99894,0.00066,0.0
Iris,LR,0,0,0.99908,0.9991,0.00042,0.0
Iris,LR,0,0,0.99977,0.99977,9e-05,0.0
Iris,LR,0,0,0.9977,0.99777,0.00077,0.0
Iris,LR,0,0,0.99868,0.99872,0.00053,0.0
Iris,LR,0,0,0.99884,0.99887,0.00048,0.0
Iris,LR,0,0,0.99914,0.99916,0.00039,0.0
Iris,LR,0,0,0.99778,0.99785,0.0008,0.0
Iris,LR,1,1,0.95048,0.94617,0.02741,0.0
Iris,LR,1,1,0.97859,0.97694,0.0114,0.0
Iris,LR,1,1,0.96512,0.96078,0.02525,0.0
Iris,LR,1,1,0.96379,0.96029,0.02152,0.0
Iris,LR,1,1,0.93024,0.92809,0.02527,0.0
Iris,LR,1,1,0.97439,0.97343,0.01032,0.0
Iris,LR,1,1,0.97392,0.97298,0.00986,0.0
Iris,LR,1,1,0.99612,0.99618,0.00149,0.0
Iris,LR,1,1,0.99115,0.99088,0.00341,0.0
Iris,LR,1,1,0.97367,0.9723,0.0114,0.0
Iris,LR,0,0,0.99149,0.99055,0.00409,0.0
Iris,LR,0,0,0.99493,0.99464,0.00174,0.0
Iris,LR,0,0,0.98245,0.98058,0.00788,0.0
Iris,LR,0,0,0.88636,0.8882,0.05888,0.0
Iris,LR,0,0,0.95975,0.95915,0.01438,0.0
Iris,LR,0,0,0.98889,0.98812,0.00389,0.0
Iris,LR,0,0,0.99698,0.99668,0.00128,0.0
Iris,LR,0,0,0.99219,0.99147,0.00322,0.0
Iris,LR,0,0,0.87617,0.87793,0.05803,0.0
Iris,LR,0,0,0.99917,0.99902,0.00057,0.0
Iris,LR,0,0,0.99823,0.99807,0.00074,0.0
Iris,LR,0,0,0.99991,0.99989,7e-05,0.0
Iris,LR,0,0,0.98743,0.98716,0.00656,0.0
Iris,LR,0,0,0.99676,0.99634,0.00167,0.0
Iris,LR,0,0,0.99999,0.99998,1e-05,0.0
Iris,LR,0,0,0.99995,0.99994,4e-05,0.0
Iris,LR,0,0,0.99794,0.99782,0.00076,0.0
Iris,LR,0,0,0.99424,0.99378,0.00224,0.0
Iris,LR,0,0,0.99712,0.99678,0.00137,0.0
Iris,LR,0,0,0.99741,0.99726,0.00104,0.0
Iris,LR,1,1,0.97073,0.97123,0.01136,0.0
Iris,LR,1,1,0.98019,0.97928,0.00756,0.0
Iris,LR,1,1,0.98645,0.98582,0.00512,0.0
Iris,LR,1,1,0.97741,0.97715,0.00645,0.0
Iris,LR,1,1,0.96993,0.96829,0.01053,0.0
Iris,LR,1,1,0.96232,0.96232,0.01074,0.0
Iris,LR,1,1,0.97239,0.97157,0.00753,0.0
Iris,LR,1,1,0.97404,0.9738,0.00734,0.0
Iris,LR,1,1,0.95599,0.956,0.01289,0.0
Iris,LR,1,1,0.98947,0.98914,0.00345,0.0
Iris,LR,0,0,0.99556,0.99556,0.00194,0.0
Iris,LR,0,0,0.98754,0.98636,0.00632,0.0
Iris,LR,0,0,0.95637,0.95276,0.01943,0.0
Iris,LR,0,0,0.97957,0.97894,0.00702,0.0
Iris,LR,0,0,0.98771,0.98721,0.00491,0.0
Iris,LR,0,0,0.97783,0.97667,0.00848,0.0
Iris,LR,0,0,0.91957,0.91137,0.0409,0.0
Iris,LR,0,0,0.98259,0.98219,0.00611,0.0
Iris,LR,0,0,0.99765,0.99745,0.0012,0.0
Iris,LR,0,0,0.9991,0.99905,0.00042,0.0
Iris,LR,0,0,0.99937,0.99934,0.00034,0.0
Iris,LR,0,0,0.99827,0.99821,0.00085,0.0
Iris,LR,0,0,0.99927,0.99927,0.00043,0.0
Iris,LR,0,0,0.99942,0.99939,0.0003,0.0
Iris,LR,0,0,0.9992,0.99919,0.00039,0.0
Iris,LR,0,0,0.99953,0.9995,0.00025,0.0
Iris,LR,0,0,0.9984,0.99828,0.0011,0.0
Iris,LR,0,0,0.99945,0.99941,0.00038,0.0
Iris,LR,0,0,0.99937,0.99934,0.00035,0.0
Iris,LR,0,0,0.99728,0.9971,0.00179,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,0.92,0.923,0.12411,0.0
Iris,RF,1,1,0.94,0.9265,0.12857,0.0
Iris,RF,1,1,1.0,0.9965,0.01819,0.0
Iris,RF,1,1,1.0,0.9995,0.00436,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,0.98,0.9645,0.0859,0.0
Iris,RF,1,1,1.0,0.9995,0.00436,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,0.996,0.03059,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,0.995,0.03924,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,0.99,0.984,0.03429,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,0,0,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,0.999,0.006,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
Iris,RF,1,1,1.0,0.9965,0.01819,0.0
Iris,RF,1,1,1.0,1.0,0.0,0.0
