T_min,I_max,F_max,mean_consensus_acc,mean_coverage
0.45,0.3,0.25,0.8903,0.7413
0.45,0.3,0.3,0.8885,0.7473
0.45,0.3,0.35,0.8871,0.7514
0.45,0.35,0.25,0.8831,0.7687
0.45,0.35,0.3,0.8806,0.7763
0.45,0.35,0.35,0.8782,0.7826
0.45,0.4,0.25,0.8775,0.7931
0.45,0.4,0.3,0.8747,0.8025
0.45,0.4,0.35,0.872,0.8105
0.5,0.3,0.25,0.8922,0.7345
0.5,0.3,0.3,0.8907,0.739
0.5,0.3,0.35,0.8896,0.7421
0.5,0.35,0.25,0.885,0.7615
0.5,0.35,0.3,0.8829,0.7675
0.5,0.35,0.35,0.8808,0.7726
0.5,0.4,0.25,0.8795,0.7858
0.5,0.4,0.3,0.8771,0.7932
0.5,0.4,0.35,0.8746,0.7997
0.55,0.3,0.25,0.8954,0.7232
0.55,0.3,0.3,0.8944,0.7263
0.55,0.3,0.35,0.8939,0.7278
0.55,0.35,0.25,0.8882,0.7497
0.55,0.35,0.3,0.8868,0.7539
0.55,0.35,0.35,0.8853,0.7568
0.55,0.4,0.25,0.8827,0.7735
0.55,0.4,0.3,0.8809,0.7789
0.55,0.4,0.35,0.8792,0.783
