dataset,n,r_TI,r_TF,r_IF,mean_T,mean_I,mean_F
Iris,150,-0.9834,-0.7238,0.7202,0.9789,0.0086,0.0003
Wine,178,-0.9375,-0.7623,0.6962,0.9388,0.0565,0.0146
Br. Cancer,569,-0.8577,-0.8354,0.6772,0.9618,0.0416,0.0165
Digits,1797,-0.9170,-0.8616,0.7432,0.9246,0.0865,0.0329
Heart,270,-0.8862,-0.8496,0.7131,0.8531,0.1601,0.0570
Ionosphere,351,-0.7679,-0.8693,0.6924,0.8967,0.1441,0.0517
Sonar,208,-0.8769,-0.9523,0.8068,0.8271,0.2887,0.1325
Glass,214,-0.1626,-0.6908,0.4221,0.6184,0.2140,0.1519
Vehicle,846,-0.7500,-0.6870,0.5010,0.7425,0.1131,0.0734
Segment,2310,-0.7526,-0.6290,0.5278,0.9000,0.0444,0.0178
Vowel,990,-0.3540,-0.7566,0.2918,0.5612,0.1976,0.1762
Yeast,1484,-0.1221,-0.5168,0.3481,0.5730,0.1037,0.0874
Ecoli,332,-0.7622,-0.7168,0.5258,0.8460,0.1095,0.0425
Haberman,306,-0.6080,-0.7072,0.5619,0.7537,0.0981,0.0279

OVERALL,10005,-0.5738,-0.6717,0.5585,0.7993,0.1004,0.0594
paraconsistent_count,157
